Polo;Faixa_Distancia;K_Sugerido;Qtd_Amostras
ANGRA;0-500 m;17.99;2289
ANGRA;500-1000 m;1.62;123
ANGRA;1000-1500 m;1.84;41
ANGRA;1500-2000 m;1.87;25
ANGRA;2000-2500 m;1.81;15
ANGRA;2500-3000 m;1.33;39
ANGRA;3000-3500 m;1.54;73
ANGRA;3500-4000 m;1.52;74
ANGRA;4000-4500 m;1.86;14
ANGRA;4500-5000 m;1.28;11
ANGRA;5000-5500 m;3.03;5
ANGRA;5500-6000 m;2.39;1
ANGRA;6000-6500 m;1.74;3
ANGRA;6500-7000 m;1.7;4
ANGRA;7000-7500 m;1.29;4
ANGRA;7500-8000 m;1.04;1
ANGRA;8000-8500 m;0.99;1
ANGRA;8500-9000 m;;0
ANGRA;9000-9500 m;1.24;5
ANGRA;9500-10000 m;;0
ANGRA;10000-10500 m;1.37;11
ANGRA;10500-11000 m;;0
ANGRA;11000-11500 m;1.53;6
ANGRA;11500-12000 m;1.38;2
ANGRA;12000-12500 m;;0
ANGRA;12500-13000 m;;0
ANGRA;13000-13500 m;1.42;2
ANGRA;13500-14000 m;;0
ANGRA;14000-14500 m;1.42;4
ANGRA;14500-15000 m;;0
ANGRA;15000-15500 m;;0
ANGRA;15500-16000 m;;0
ANGRA;16000-16500 m;;0
ANGRA;16500-17000 m;;0
ANGRA;17000-17500 m;;0
ANGRA;17500-18000 m;;0
ANGRA;18000-18500 m;;0
ANGRA;18500-19000 m;;0
ANGRA;19000-19500 m;;0
ANGRA;19500-20000 m;;0
ANGRA;20000-20500 m;;0
ANGRA;20500-21000 m;;0
ANGRA;21000-21500 m;;0
ANGRA;21500-22000 m;;0
ANGRA;22000-22500 m;;0
ANGRA;22500-23000 m;;0
ANGRA;23000-23500 m;;0
ANGRA;23500-24000 m;;0
ANGRA;24000-24500 m;;0
ANGRA;24500-25000 m;;0
ANGRA;25000-25500 m;;0
ANGRA;25500-26000 m;;0
ANGRA;26000-26500 m;;0
ANGRA;26500-27000 m;;0
ANGRA;27000-27500 m;;0
ANGRA;27500-28000 m;;0
ANGRA;28000-28500 m;;0
ANGRA;28500-29000 m;;0
ANGRA;29000-29500 m;;0
ANGRA;29500-30000 m;;0
ANGRA;30000-30500 m;;0
ANGRA;30500-31000 m;;0
ANGRA;31000-31500 m;;0
ANGRA;31500-32000 m;;0
ANGRA;32000-32500 m;;0
ANGRA;32500-33000 m;;0
ANGRA;33000-33500 m;;0
ANGRA;33500-34000 m;;0
ANGRA;34000-34500 m;;0
ANGRA;34500-35000 m;;0
ANGRA;35000-35500 m;;0
ANGRA;35500-36000 m;;0
ANGRA;36000-36500 m;;0
ANGRA;36500-37000 m;;0
ANGRA;37000-37500 m;;0
ANGRA;37500-38000 m;;0
ANGRA;38000-38500 m;;0
ANGRA;38500-39000 m;;0
ANGRA;39000-39500 m;;0
ANGRA;39500-40000 m;;0
ANGRA;40000-40500 m;;0
ANGRA;40500-41000 m;;0
ANGRA;41000-41500 m;;0
ANGRA;41500-42000 m;;0
