Polo;Data;KM_Estimado_K;KM_Real_Google;Fator_K_Usado
RESENDE;2025-07-23;16.642;17.09;1.5
RESENDE;2025-07-23;0.752;4.74;1.5
RESENDE;2025-07-23;10.318;14.95;1.5
RESENDE;2025-07-23;12.939;14.71;1.5
RESENDE;2025-07-23;5.993;14.47;1.5
RESENDE;2025-07-23;3.894;4.48;1.5
RESENDE;2025-07-23;0.88;5.34;1.5
RESENDE;2025-07-23;10.501;19.67;1.5
RESENDE;2025-07-23;57.971;93.69;1.5
RESENDE;2025-07-23;59.297;98.62;1.5
RESENDE;2025-07-23;56.471;90.09;1.5
RESENDE;2025-07-23;62.062;118.42;1.5
RESENDE;2025-07-23;69.994;162.66;1.5
RESENDE;2025-07-23;57.906;96.96;1.5
RESENDE;2025-07-23;55.695;80.47;1.5
RESENDE;2025-07-23;57.606;92.2;1.5
RESENDE;2025-07-23;67.795;91.53;1.5
RESENDE;2025-07-23;65.822;125.39;1.5
RESENDE;2025-07-23;58.022;101.93;1.5
RESENDE;2025-07-23;94.489;178.53;1.5
RESENDE;2025-07-23;57.022;90.87;1.5
RESENDE;2025-07-23;57.844;114.54;1.5
RESENDE;2025-07-23;59.939;86.19;1.5
RESENDE;2025-07-23;16.293;16.42;1.5
RESENDE;2025-07-23;20.609;21.54;1.5
RESENDE;2025-07-23;10.814;15.77;1.5
RESENDE;2025-07-23;13.942;18.85;1.5
RESENDE;2025-07-23;6.077;14.53;1.5
RESENDE;2025-07-23;6.872;8.22;1.5
RESENDE;2025-07-23;1.039;5.49;1.5
RESENDE;2025-07-23;1.145;4.47;1.5
RESENDE;2025-07-23;57.971;93.69;1.5
RESENDE;2025-07-23;59.297;98.62;1.5
RESENDE;2025-07-23;56.471;90.09;1.5
RESENDE;2025-07-23;62.062;118.42;1.5
RESENDE;2025-07-23;69.994;162.66;1.5
RESENDE;2025-07-23;57.906;96.96;1.5
RESENDE;2025-07-23;55.695;80.47;1.5
RESENDE;2025-07-23;57.606;92.2;1.5
RESENDE;2025-07-23;67.795;91.53;1.5
RESENDE;2025-07-23;65.737;125.57;1.5
RESENDE;2025-07-23;58.022;101.93;1.5
RESENDE;2025-07-23;94.489;178.53;1.5
RESENDE;2025-07-23;57.022;90.87;1.5
RESENDE;2025-07-23;57.844;114.54;1.5
RESENDE;2025-07-23;59.939;86.19;1.5
RESENDE;2025-07-23;16.293;16.42;1.5
RESENDE;2025-07-23;20.609;21.54;1.5
RESENDE;2025-07-23;10.814;15.77;1.5
RESENDE;2025-07-23;13.942;18.85;1.5
RESENDE;2025-07-23;6.077;14.53;1.5
RESENDE;2025-07-23;6.872;8.22;1.5
RESENDE;2025-07-23;1.039;5.49;1.5
RESENDE;2025-07-23;1.145;4.47;1.5
NITERÓI;2025-07-23;6.411;10.61;1.7
NITERÓI;2025-07-23;10.076;12.03;1.7
NITERÓI;2025-07-23;11.082;16.4;1.7
NITERÓI;2025-07-23;5.817;6.48;1.7
NITERÓI;2025-07-23;4.744;5.95;1.7
NITERÓI;2025-07-23;4.879;7.64;1.7
NITERÓI;2025-07-23;4.251;4.66;1.7
NITERÓI;2025-07-23;3.91;4.94;1.7
NITERÓI;2025-07-23;5.398;7.06;1.7
NITERÓI;2025-07-23;1.2;5.55;1.7
