Polo;Data;KM_Estimado_K;KM_Real_Google;Fator_K_Usado
SÃO GONÇALO;2025-07-23;29.47;33.257;1.5
SÃO GONÇALO;2025-07-23;15.814;18.374;1.5
SÃO GONÇALO;2025-07-23;12.783;11.43;1.5
SÃO GONÇALO;2025-07-23;15.992;14.005;1.5
SÃO GONÇALO;2025-07-23;10.407;10.28;1.5
SÃO GONÇALO;2025-07-23;10.0;11.974;1.5
SÃO GONÇALO;2025-07-23;8.196;10.095;1.5
SÃO GONÇALO;2025-07-23;13.809;13.588;1.5
SÃO GONÇALO;2025-07-23;14.615;16.351;1.5
SÃO GONÇALO;2025-07-23;8.053;8.993;1.5
SÃO GONÇALO;2025-07-23;8.963;11.901;1.5
SÃO GONÇALO;2025-07-23;7.851;8.222;1.5
SÃO GONÇALO;2025-07-23;5.049;5.966;1.5
SÃO GONÇALO;2025-07-23;7.185;7.851;1.5
SÃO GONÇALO;2025-07-23;9.786;8.953;1.5
SÃO GONÇALO;2025-07-23;5.456;9.649;1.5
SÃO GONÇALO;2025-07-23;4.125;8.336;1.5
SÃO GONÇALO;2025-07-23;3.615;4.039;1.5
SÃO GONÇALO;2025-07-23;5.917;8.92;1.5
ANGRA;2025-07-23;12.583;13.088;1.8
ANGRA;2025-07-23;13.092;13.546;1.8
ANGRA;2025-07-23;13.471;11.556;1.8
ANGRA;2025-07-23;12.273;13.079;1.8
ANGRA;2025-07-23;11.846;11.38;1.8
ANGRA;2025-07-23;14.942;12.02;1.8
ANGRA;2025-07-23;11.986;11.311;1.8
ANGRA;2025-07-23;13.225;13.75;1.8
ANGRA;2025-07-23;11.585;11.778;1.8
ANGRA;2025-07-23;12.075;11.955;1.8
ANGRA;2025-07-23;23.207;17.389;1.8
ANGRA;2025-07-23;11.625;10.423;1.8
ANGRA;2025-07-23;14.362;11.514;1.8
ANGRA;2025-07-23;20.2;20.805;1.8
ANGRA;2025-07-23;11.862;13.651;1.8
ANGRA;2025-07-23;11.474;9.91;1.8
ANGRA;2025-07-23;8.537;13.549;1.8
ANGRA;2025-07-23;7.809;15.529;1.8
ANGRA;2025-07-23;8.83;13.505;1.8
ANGRA;2025-07-23;3.118;4.268;1.8
