Polo;Data;Distancia_Reta_m;Distancia_Real_m
SÃO GONÇALO;2025-07-23;3378.7611738240707;8404
SÃO GONÇALO;2025-07-23;381.256268760542;3220
SÃO GONÇALO;2025-07-23;311.600089028628;739
SÃO GONÇALO;2025-07-23;1416.318694627181;204
SÃO GONÇALO;2025-07-23;561.2536923845063;971
SÃO GONÇALO;2025-07-23;165.89159396668873;854
SÃO GONÇALO;2025-07-23;809.5169791456681;911
SÃO GONÇALO;2025-07-23;1237.4265976005483;0
SÃO GONÇALO;2025-07-23;1759.5064117951472;1814
SÃO GONÇALO;2025-07-23;1711.6632117546644;5538
SÃO GONÇALO;2025-07-23;27.948964844176743;2074
SÃO GONÇALO;2025-07-23;1243.1653525559782;3157
SÃO GONÇALO;2025-07-23;1111.6747432349428;538
SÃO GONÇALO;2025-07-23;852.4720953205353;904
SÃO GONÇALO;2025-07-23;4683.391568555597;3929
SÃO GONÇALO;2025-07-23;2952.623749256563;5037
SÃO GONÇALO;2025-07-23;325.2516479372882;3971
SÃO GONÇALO;2025-07-23;55.45468073432105;484
SÃO GONÇALO;2025-07-23;990.4863695794572;205
SÃO GONÇALO;2025-07-23;108.90027666293688;296
SÃO GONÇALO;2025-07-23;56.55506519960109;69
SÃO GONÇALO;2025-07-23;74.67472351285906;195
SÃO GONÇALO;2025-07-23;135.57137999406433;97
SÃO GONÇALO;2025-07-23;146.00268140097398;170
SÃO GONÇALO;2025-07-23;68.74216731686901;170
SÃO GONÇALO;2025-07-23;137.844340537554;402
SÃO GONÇALO;2025-07-23;86.87836490058513;1458
SÃO GONÇALO;2025-07-23;145.43607124683712;100
SÃO GONÇALO;2025-07-23;1641.0870361749012;1302
SÃO GONÇALO;2025-07-23;3621.739782413775;4418
SÃO GONÇALO;2025-07-23;2372.094400753753;3047
SÃO GONÇALO;2025-07-23;25.64743979360369;0
SÃO GONÇALO;2025-07-23;374.2391076989064;734
SÃO GONÇALO;2025-07-23;6.293847017762999;377
SÃO GONÇALO;2025-07-23;2.5356215717715327;0
SÃO GONÇALO;2025-07-23;13.710624908780945;1295
SÃO GONÇALO;2025-07-23;387.6071697988181;403
SÃO GONÇALO;2025-07-23;234.09091790095047;1084
SÃO GONÇALO;2025-07-23;0.0;82
SÃO GONÇALO;2025-07-23;452.6147810413133;782
SÃO GONÇALO;2025-07-23;274.5572017031371;901
SÃO GONÇALO;2025-07-23;585.5085072482925;13
SÃO GONÇALO;2025-07-23;533.6970060612023;2
SÃO GONÇALO;2025-07-23;82.63189527334072;5
SÃO GONÇALO;2025-07-23;3181.540718293724;2705
SÃO GONÇALO;2025-07-23;2697.3911365511944;4094
SÃO GONÇALO;2025-07-23;721.9061446935216;96
SÃO GONÇALO;2025-07-23;96.65669065921722;1957
SÃO GONÇALO;2025-07-23;131.8910195919137;595
SÃO GONÇALO;2025-07-23;912.5347351779552;916
SÃO GONÇALO;2025-07-23;931.2745210949683;662
SÃO GONÇALO;2025-07-23;548.2599114500748;631
SÃO GONÇALO;2025-07-23;300.1167822638279;35
SÃO GONÇALO;2025-07-23;458.2583581166485;96
SÃO GONÇALO;2025-07-23;41.62795154154957;244
SÃO GONÇALO;2025-07-23;96.64793630955856;174
SÃO GONÇALO;2025-07-23;424.9062576366517;120
SÃO GONÇALO;2025-07-23;96.02379387309507;752
SÃO GONÇALO;2025-07-23;1034.2018454787058;954
SÃO GONÇALO;2025-07-23;2174.699192497389;2679
SÃO GONÇALO;2025-07-23;1943.3399436699715;3070
SÃO GONÇALO;2025-07-23;365.6032160835938;722
SÃO GONÇALO;2025-07-23;611.7534027306879;965
SÃO GONÇALO;2025-07-23;604.8352482130261;789
SÃO GONÇALO;2025-07-23;176.73336158797437;436
SÃO GONÇALO;2025-07-23;365.63913105943726;409
SÃO GONÇALO;2025-07-23;58.75208996770357;85
SÃO GONÇALO;2025-07-23;154.40938281855816;274
SÃO GONÇALO;2025-07-23;228.8590114516683;439
SÃO GONÇALO;2025-07-23;162.54029612885105;162
SÃO GONÇALO;2025-07-23;46.18086787773634;129
SÃO GONÇALO;2025-07-23;47.43236469249219;82
SÃO GONÇALO;2025-07-23;0.0;0
SÃO GONÇALO;2025-07-23;26.40819206452129;49
SÃO GONÇALO;2025-07-23;2148.784557074229;2669
SÃO GONÇALO;2025-07-23;835.2158797754753;1247
SÃO GONÇALO;2025-07-23;1352.5954018139196;4594
SÃO GONÇALO;2025-07-23;126.79998721910356;138
SÃO GONÇALO;2025-07-23;759.3808815238466;190
SÃO GONÇALO;2025-07-23;138.5304254751308;185
SÃO GONÇALO;2025-07-23;69.5640486438934;526
SÃO GONÇALO;2025-07-23;164.4578013735761;143
SÃO GONÇALO;2025-07-23;90.88054222983068;1140
SÃO GONÇALO;2025-07-23;73.35337957710975;229
SÃO GONÇALO;2025-07-23;734.4604150339295;179
SÃO GONÇALO;2025-07-23;89.08431792085896;19
SÃO GONÇALO;2025-07-23;19.94421488879055;30
SÃO GONÇALO;2025-07-23;31.838875361156763;51
SÃO GONÇALO;2025-07-23;51.80876733288592;127
SÃO GONÇALO;2025-07-23;2134.5000700047067;3176
SÃO GONÇALO;2025-07-23;1775.9262167096877;3185
SÃO GONÇALO;2025-07-23;0.0;0
SÃO GONÇALO;2025-07-23;111.18774503221618;154
SÃO GONÇALO;2025-07-23;750.9659903264346;135
SÃO GONÇALO;2025-07-23;125.26694066261952;873
SÃO GONÇALO;2025-07-23;341.5110288743644;585
SÃO GONÇALO;2025-07-23;61.76820198169335;0
SÃO GONÇALO;2025-07-23;32.148900564379886;0
SÃO GONÇALO;2025-07-23;107.07043816427418;12
SÃO GONÇALO;2025-07-23;40.81841222409588;105
SÃO GONÇALO;2025-07-23;37.94136480417486;32
SÃO GONÇALO;2025-07-23;8.416990006094906;77
SÃO GONÇALO;2025-07-23;7.847313058038581;733
SÃO GONÇALO;2025-07-23;185.0377277028604;153
SÃO GONÇALO;2025-07-23;1883.8441830278407;4051
SÃO GONÇALO;2025-07-23;1559.2261053520754;4143
SÃO GONÇALO;2025-07-23;821.5177036290046;134
