Polo;Equipe;Tipo_Equipe;Ordem_Visita;ID_Servico;Valor_Divida;Tempo_Execucao_Min;KM_Trecho_Estimado;Tempo_Trecho_Estimado_Min;KM_Trecho_Google;Tempo_Trecho_Google_Min;Link_Google_Maps
NITERÓI;Equipe Leve 1;Leve;1;34273054.0;3863.89;28.0;5.32;15.97;4.04;8.53;https://www.google.com/maps/dir/-22.90684155,-43.06050544/-22.9019,-43.0906/-22.9025,-43.0928/-22.9028,-43.0928/-22.9042,-43.0972/-22.9025,-43.0981/-22.9022,-43.0989/-22.9047,-43.1003/-22.9028,-43.1011/-22.9039,-43.1103/-22.9033,-43.1119/-22.9042,-43.1197/-22.9044,-43.1181/-22.9053,-43.1131/-22.9058,-43.1094/-22.9056,-43.1081/-22.9061,-43.1072/-22.9103,-43.1025/-22.9075,-43.0981/-22.9058,-43.0953/-22.9069,-43.095/-22.9061,-43.0733/-22.90684155,-43.06050544
NITERÓI;Equipe Leve 1;Leve;2;33957002.0;2645.37;28.0;0.4;1.2;0.63;2.48;https://www.google.com/maps/dir/-22.90684155,-43.06050544/-22.9019,-43.0906/-22.9025,-43.0928/-22.9028,-43.0928/-22.9042,-43.0972/-22.9025,-43.0981/-22.9022,-43.0989/-22.9047,-43.1003/-22.9028,-43.1011/-22.9039,-43.1103/-22.9033,-43.1119/-22.9042,-43.1197/-22.9044,-43.1181/-22.9053,-43.1131/-22.9058,-43.1094/-22.9056,-43.1081/-22.9061,-43.1072/-22.9103,-43.1025/-22.9075,-43.0981/-22.9058,-43.0953/-22.9069,-43.095/-22.9061,-43.0733/-22.90684155,-43.06050544
NITERÓI;Equipe Leve 1;Leve;3;33226555.0;775.6;28.0;0.06;0.17;0.11;0.45;https://www.google.com/maps/dir/-22.90684155,-43.06050544/-22.9019,-43.0906/-22.9025,-43.0928/-22.9028,-43.0928/-22.9042,-43.0972/-22.9025,-43.0981/-22.9022,-43.0989/-22.9047,-43.1003/-22.9028,-43.1011/-22.9039,-43.1103/-22.9033,-43.1119/-22.9042,-43.1197/-22.9044,-43.1181/-22.9053,-43.1131/-22.9058,-43.1094/-22.9056,-43.1081/-22.9061,-43.1072/-22.9103,-43.1025/-22.9075,-43.0981/-22.9058,-43.0953/-22.9069,-43.095/-22.9061,-43.0733/-22.90684155,-43.06050544
NITERÓI;Equipe Leve 1;Leve;4;28610863.0;838.91;12.0;0.81;2.43;0.8;3.18;https://www.google.com/maps/dir/-22.90684155,-43.06050544/-22.9019,-43.0906/-22.9025,-43.0928/-22.9028,-43.0928/-22.9042,-43.0972/-22.9025,-43.0981/-22.9022,-43.0989/-22.9047,-43.1003/-22.9028,-43.1011/-22.9039,-43.1103/-22.9033,-43.1119/-22.9042,-43.1197/-22.9044,-43.1181/-22.9053,-43.1131/-22.9058,-43.1094/-22.9056,-43.1081/-22.9061,-43.1072/-22.9103,-43.1025/-22.9075,-43.0981/-22.9058,-43.0953/-22.9069,-43.095/-22.9061,-43.0733/-22.90684155,-43.06050544
NITERÓI;Equipe Leve 1;Leve;5;34273276.0;1859.9;28.0;0.36;1.07;0.28;1.43;https://www.google.com/maps/dir/-22.90684155,-43.06050544/-22.9019,-43.0906/-22.9025,-43.0928/-22.9028,-43.0928/-22.9042,-43.0972/-22.9025,-43.0981/-22.9022,-43.0989/-22.9047,-43.1003/-22.9028,-43.1011/-22.9039,-43.1103/-22.9033,-43.1119/-22.9042,-43.1197/-22.9044,-43.1181/-22.9053,-43.1131/-22.9058,-43.1094/-22.9056,-43.1081/-22.9061,-43.1072/-22.9103,-43.1025/-22.9075,-43.0981/-22.9058,-43.0953/-22.9069,-43.095/-22.9061,-43.0733/-22.90684155,-43.06050544
NITERÓI;Equipe Leve 1;Leve;6;34302906.0;2687.91;28.0;0.15;0.45;0.1;0.7;https://www.google.com/maps/dir/-22.90684155,-43.06050544/-22.9019,-43.0906/-22.9025,-43.0928/-22.9028,-43.0928/-22.9042,-43.0972/-22.9025,-43.0981/-22.9022,-43.0989/-22.9047,-43.1003/-22.9028,-43.1011/-22.9039,-43.1103/-22.9033,-43.1119/-22.9042,-43.1197/-22.9044,-43.1181/-22.9053,-43.1131/-22.9058,-43.1094/-22.9056,-43.1081/-22.9061,-43.1072/-22.9103,-43.1025/-22.9075,-43.0981/-22.9058,-43.0953/-22.9069,-43.095/-22.9061,-43.0733/-22.90684155,-43.06050544
NITERÓI;Equipe Leve 1;Leve;7;33699889.0;182.76;12.0;0.53;1.6;0.69;2.52;https://www.google.com/maps/dir/-22.90684155,-43.06050544/-22.9019,-43.0906/-22.9025,-43.0928/-22.9028,-43.0928/-22.9042,-43.0972/-22.9025,-43.0981/-22.9022,-43.0989/-22.9047,-43.1003/-22.9028,-43.1011/-22.9039,-43.1103/-22.9033,-43.1119/-22.9042,-43.1197/-22.9044,-43.1181/-22.9053,-43.1131/-22.9058,-43.1094/-22.9056,-43.1081/-22.9061,-43.1072/-22.9103,-43.1025/-22.9075,-43.0981/-22.9058,-43.0953/-22.9069,-43.095/-22.9061,-43.0733/-22.90684155,-43.06050544
NITERÓI;Equipe Leve 1;Leve;8;34176952.0;866.44;12.0;0.39;1.16;0.3;1.22;https://www.google.com/maps/dir/-22.90684155,-43.06050544/-22.9019,-43.0906/-22.9025,-43.0928/-22.9028,-43.0928/-22.9042,-43.0972/-22.9025,-43.0981/-22.9022,-43.0989/-22.9047,-43.1003/-22.9028,-43.1011/-22.9039,-43.1103/-22.9033,-43.1119/-22.9042,-43.1197/-22.9044,-43.1181/-22.9053,-43.1131/-22.9058,-43.1094/-22.9056,-43.1081/-22.9061,-43.1072/-22.9103,-43.1025/-22.9075,-43.0981/-22.9058,-43.0953/-22.9069,-43.095/-22.9061,-43.0733/-22.90684155,-43.06050544
NITERÓI;Equipe Leve 1;Leve;9;27225620.0;139.85;28.0;1.62;4.85;2.52;9.35;https://www.google.com/maps/dir/-22.90684155,-43.06050544/-22.9019,-43.0906/-22.9025,-43.0928/-22.9028,-43.0928/-22.9042,-43.0972/-22.9025,-43.0981/-22.9022,-43.0989/-22.9047,-43.1003/-22.9028,-43.1011/-22.9039,-43.1103/-22.9033,-43.1119/-22.9042,-43.1197/-22.9044,-43.1181/-22.9053,-43.1131/-22.9058,-43.1094/-22.9056,-43.1081/-22.9061,-43.1072/-22.9103,-43.1025/-22.9075,-43.0981/-22.9058,-43.0953/-22.9069,-43.095/-22.9061,-43.0733/-22.90684155,-43.06050544
NITERÓI;Equipe Leve 1;Leve;10;29365843.0;629.05;12.0;0.3;0.9;0.61;1.78;https://www.google.com/maps/dir/-22.90684155,-43.06050544/-22.9019,-43.0906/-22.9025,-43.0928/-22.9028,-43.0928/-22.9042,-43.0972/-22.9025,-43.0981/-22.9022,-43.0989/-22.9047,-43.1003/-22.9028,-43.1011/-22.9039,-43.1103/-22.9033,-43.1119/-22.9042,-43.1197/-22.9044,-43.1181/-22.9053,-43.1131/-22.9058,-43.1094/-22.9056,-43.1081/-22.9061,-43.1072/-22.9103,-43.1025/-22.9075,-43.0981/-22.9058,-43.0953/-22.9069,-43.095/-22.9061,-43.0733/-22.90684155,-43.06050544
