ID_Servico;Polo;Latitude;Longitude;Valor_Divida;Tipo_Servico;Municipio;Tipo_Equipe_Requerida;Mix_Solic;Equipe;Serviço;Mix_solic;Tempo_Execucao_Min
33957081.0;NITERÓI;-22.9031;-43.13;5820.6;RECORTE;NITEROI;LEVE;POSTE;LEVE;RECORTE;POSTE;28.0
34310110.0;NITERÓI;-22.9206;-42.8192;557.76;CORTE;MARICA;LEVE;MEDIDOR;LEVE;CORTE;MEDIDOR;12.0
34310153.0;NITERÓI;-22.9706;-42.9044;583.64;CORTE;MARICA;LEVE;MEDIDOR;LEVE;CORTE;MEDIDOR;12.0
34252838.0;NITERÓI;-22.9514;-42.9883;352.45;RECORTE;MARICA;LEVE;MEDIDOR;LEVE;RECORTE;MEDIDOR;12.0
34168407.0;NITERÓI;-22.9536;-42.9922;436.17;RECORTE;MARICA;LEVE;MEDIDOR;LEVE;RECORTE;MEDIDOR;12.0
34168287.0;NITERÓI;-22.9064;-42.7939;3225.14;RECORTE;MARICA;LEVE;MEDIDOR;LEVE;RECORTE;MEDIDOR;12.0
34303303.0;NITERÓI;-22.8778;-43.0889;1264.06;RECORTE;NITEROI;LEVE;POSTE;LEVE;RECORTE;POSTE;28.0
34143933.0;NITERÓI;-22.9067;-42.8042;96.96;CORTE;MARICA;LEVE;MEDIDOR;LEVE;CORTE;MEDIDOR;12.0
34253070.0;NITERÓI;-22.9022;-42.7953;815.55;RECORTE;MARICA;LEVE;MEDIDOR;LEVE;RECORTE;MEDIDOR;12.0
34253110.0;NITERÓI;-22.93;-42.7978;676.89;RECORTE;MARICA;LEVE;MEDIDOR;LEVE;RECORTE;MEDIDOR;12.0
34233027.0;NITERÓI;-22.9236;-42.8186;489.85;CORTE;MARICA;LEVE;MEDIDOR;LEVE;CORTE;MEDIDOR;12.0
34252841.0;NITERÓI;-22.9536;-42.9731;141.95;RECORTE;MARICA;LEVE;MEDIDOR;LEVE;RECORTE;MEDIDOR;12.0
34143953.0;NITERÓI;-22.9236;-42.8186;90.62;CORTE;MARICA;LEVE;MEDIDOR;LEVE;CORTE;MEDIDOR;12.0
34055223.0;NITERÓI;-22.9297;-43.1183;495.2;RECORTE;NITEROI;LEVE;POSTE;LEVE;RECORTE;POSTE;28.0
33959182.0;NITERÓI;-22.9189;-42.9814;5495.22;RECORTE;NITEROI;LEVE;POSTE;LEVE;RECORTE;POSTE;28.0
34252861.0;NITERÓI;-22.945;-42.6864;413.54;RECORTE;MARICA;LEVE;MEDIDOR;LEVE;RECORTE;MEDIDOR;12.0
33996288.0;NITERÓI;-22.9008;-43.1325;661.6;CORTE;NITEROI;LEVE;MEDIDOR;LEVE;CORTE;MEDIDOR;12.0
33996199.0;NITERÓI;-22.8853;-43.1086;1808.99;CORTE;NITEROI;LEVE;MEDIDOR;LEVE;CORTE;MEDIDOR;12.0
34253771.0;NITERÓI;-22.9383;-42.6567;1634.41;RECORTE;MARICA;LEVE;MEDIDOR;LEVE;RECORTE;MEDIDOR;12.0
34253757.0;NITERÓI;-22.9561;-42.9922;1096.78;RECORTE;MARICA;LEVE;MEDIDOR;LEVE;RECORTE;MEDIDOR;12.0
34204686.0;NITERÓI;-22.8867;-42.8344;367.5;CORTE;MARICA;LEVE;MEDIDOR;LEVE;CORTE;MEDIDOR;12.0
34203017.0;NITERÓI;-22.9106;-42.8144;4899.4;CORTE;MARICA;LEVE;MEDIDOR;LEVE;CORTE;MEDIDOR;12.0
34242161.0;NITERÓI;-22.9233;-42.8186;71.57;CORTE;MARICA;LEVE;MEDIDOR;LEVE;CORTE;MEDIDOR;12.0
34147723.0;NITERÓI;-22.9233;-42.8186;2496.07;RECORTE;MARICA;LEVE;POSTE;LEVE;RECORTE;POSTE;28.0
34242144.0;NITERÓI;-22.9147;-42.8467;142.34;CORTE;MARICA;LEVE;MEDIDOR;LEVE;CORTE;MEDIDOR;12.0
34147434.0;NITERÓI;-22.9236;-42.8186;685.02;RECORTE;MARICA;LEVE;POSTE;LEVE;RECORTE;POSTE;28.0
29038469.0;NITERÓI;-22.8636;-43.1022;2465.82;CORTE;NITEROI;LEVE;MEDIDOR;LEVE;CORTE;MEDIDOR;12.0
26662101.0;NITERÓI;-22.955;-42.9825;3439.27;RECORTE;MARICA;LEVE;MEDIDOR;LEVE;RECORTE;MEDIDOR;12.0
34147477.0;NITERÓI;-22.9236;-42.8186;4144.74;RECORTE;MARICA;LEVE;POSTE;LEVE;RECORTE;POSTE;28.0
34206183.0;NITERÓI;-22.8889;-42.8311;385.94;CORTE;MARICA;LEVE;MEDIDOR;LEVE;CORTE;MEDIDOR;12.0
34178646.0;NITERÓI;-22.87;-43.1147;3120.44;RECORTE;NITEROI;LEVE;POSTE;LEVE;RECORTE;POSTE;28.0
34314455.0;NITERÓI;-22.8961;-42.7883;533.47;CORTE;MARICA;LEVE;MEDIDOR;LEVE;CORTE;MEDIDOR;12.0
34255291.0;NITERÓI;-22.9033;-42.9228;2109.66;RECORTE;MARICA;LEVE;POSTE;LEVE;RECORTE;POSTE;28.0
33936560.0;NITERÓI;-22.9747;-43.0294;1171.52;CORTE;NITEROI;LEVE;MEDIDOR;LEVE;CORTE;MEDIDOR;12.0
34207763.0;NITERÓI;-22.9;-42.7958;303.6;CORTE;MARICA;LEVE;MEDIDOR;LEVE;CORTE;MEDIDOR;12.0
34292340.0;NITERÓI;-22.9239;-42.8208;1624.23;CORTE;MARICA;LEVE;POSTE;LEVE;CORTE;POSTE;28.0
34293270.0;NITERÓI;-22.9167;-42.8192;397.71;CORTE;MARICA;LEVE;MEDIDOR;LEVE;CORTE;MEDIDOR;12.0
34293545.0;NITERÓI;-22.8786;-43.1219;94.38;CORTE;NITEROI;LEVE;MEDIDOR;LEVE;CORTE;MEDIDOR;12.0
34069083.0;NITERÓI;-22.875;-43.0794;575.05;RECORTE;NITEROI;LEVE;MEDIDOR;LEVE;RECORTE;MEDIDOR;12.0
34136399.0;NITERÓI;-22.9472;-42.9356;351.75;CORTE;MARICA;LEVE;MEDIDOR;LEVE;CORTE;MEDIDOR;12.0
33299421.0;NITERÓI;-22.9003;-43.1169;178.54;CORTE;NITEROI;LEVE;MEDIDOR;LEVE;CORTE;MEDIDOR;12.0
34231049.0;NITERÓI;-22.9267;-42.8578;359.23;CORTE;MARICA;LEVE;MEDIDOR;LEVE;CORTE;MEDIDOR;12.0
34247594.0;NITERÓI;-22.935;-42.8036;377.76;CORTE;MARICA;LEVE;MEDIDOR;LEVE;CORTE;MEDIDOR;12.0
33838206.0;NITERÓI;-22.9036;-43.1219;738.73;RECORTE;NITEROI;LEVE;MEDIDOR;LEVE;RECORTE;MEDIDOR;12.0
34308298.0;NITERÓI;-22.9156;-42.82;1472.4;CORTE;MARICA;LEVE;MEDIDOR;LEVE;CORTE;MEDIDOR;12.0
34322257.0;NITERÓI;-22.915;-42.8164;0.0;CORTE;MARICA;LEVE;RAMAL;LEVE;CORTE;RAMAL;40.0
34272417.0;NITERÓI;-22.8803;-43.1039;619.46;RECORTE;NITEROI;LEVE;MEDIDOR;LEVE;RECORTE;MEDIDOR;12.0
34249360.0;NITERÓI;-22.9172;-42.8203;849.56;CORTE;MARICA;LEVE;MEDIDOR;LEVE;CORTE;MEDIDOR;12.0
34273190.0;NITERÓI;-22.8803;-43.1244;1595.53;RECORTE;NITEROI;LEVE;POSTE;LEVE;RECORTE;POSTE;28.0
34303120.0;NITERÓI;-22.9017;-43.1267;2538.09;RECORTE;NITEROI;LEVE;MEDIDOR;LEVE;RECORTE;MEDIDOR;12.0
34303220.0;NITERÓI;-22.9403;-43.0422;1065.16;RECORTE;NITEROI;LEVE;POSTE;LEVE;RECORTE;POSTE;28.0
34302888.0;NITERÓI;-22.9619;-43.0308;6402.47;RECORTE;NITEROI;LEVE;POSTE;LEVE;RECORTE;POSTE;28.0
33529173.0;NITERÓI;-22.9028;-43.1272;0.0;RECORTE;NITEROI;LEVE;POSTE;LEVE;RECORTE;POSTE;28.0
33299278.0;NITERÓI;-22.9019;-43.1289;118.23;CORTE;NITEROI;LEVE;MEDIDOR;LEVE;CORTE;MEDIDOR;12.0
34308753.0;NITERÓI;-22.8772;-43.1075;518.03;CORTE;NITEROI;LEVE;POSTE;LEVE;CORTE;POSTE;28.0
34125310.0;NITERÓI;-22.9619;-43.0147;792.42;CORTE;MARICA;LEVE;POSTE;LEVE;CORTE;POSTE;28.0
34272131.0;NITERÓI;-22.9333;-42.7939;251.02;CORTE;MARICA;LEVE;MEDIDOR;LEVE;CORTE;MEDIDOR;12.0
34216147.0;NITERÓI;-22.9239;-42.8214;454.65;CORTE;MARICA;LEVE;MEDIDOR;LEVE;CORTE;MEDIDOR;12.0
34303217.0;NITERÓI;-22.9464;-43.0372;9484.61;RECORTE;NITEROI;LEVE;POSTE;LEVE;RECORTE;POSTE;28.0
34168251.0;NITERÓI;-22.8572;-42.7722;353.61;RECORTE;MARICA;LEVE;MEDIDOR;LEVE;RECORTE;MEDIDOR;12.0
34273452.0;NITERÓI;-22.8836;-43.1114;9014.28;RECORTE;NITEROI;LEVE;POSTE;LEVE;RECORTE;POSTE;28.0
34273077.0;NITERÓI;-22.8892;-42.8578;636.76;CORTE;MARICA;LEVE;POSTE;LEVE;CORTE;POSTE;28.0
34254365.0;NITERÓI;-22.9417;-42.9803;3277.46;RECORTE;MARICA;LEVE;POSTE;LEVE;RECORTE;POSTE;28.0
34247684.0;NITERÓI;-22.8764;-42.8047;845.06;CORTE;MARICA;LEVE;MEDIDOR;LEVE;CORTE;MEDIDOR;12.0
34269041.0;NITERÓI;-22.9186;-42.8142;658.15;CORTE;MARICA;LEVE;MEDIDOR;LEVE;CORTE;MEDIDOR;12.0
34168380.0;NITERÓI;-22.9069;-42.795;561.2;RECORTE;MARICA;LEVE;POSTE;LEVE;RECORTE;POSTE;28.0
34211915.0;NITERÓI;-22.9225;-42.8194;431.06;CORTE;MARICA;LEVE;MEDIDOR;LEVE;CORTE;MEDIDOR;12.0
34302523.0;NITERÓI;-22.9003;-43.1225;863.78;RECORTE;NITEROI;LEVE;MEDIDOR;LEVE;RECORTE;MEDIDOR;12.0
